date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:11:27	113/113	---M-Z	200	added ('OK')	text/plain	date:Tue,%2003%20Oct%202023%2021:11:27%20GMT	https://gtkit.rometheme.pro/robots.txt		(from )
02:11:28	203620/203620	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2021:11:28%20GMT	https://gtkit.rometheme.pro/getux/	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/index.html	(from )
02:11:29	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2003%20Oct%202023%2021:11:29%20GMT	https://gtkit.rometheme.pro/getux/xmlrpc.php	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/xmlrpc.php	(from https://gtkit.rometheme.pro/getux/)
02:11:29	104484/104484	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Aug%202023%2008:01:47%20GMT	https://gtkit.rometheme.pro/getux/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/wp-includes/css/dist/block-library/style.min9b30.css	(from https://gtkit.rometheme.pro/getux/)
02:11:30	1111/1111	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2009:10:00%20GMT	https://gtkit.rometheme.pro/getux/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://gtkit.rometheme.pro/getux/)
02:11:31	8868/8868	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2021:11:31%20GMT	http://cdnjs.cloudflare.com/	/Users/sarma/websites/test/cdnjs.cloudflare.com/index.html	(from https://gtkit.rometheme.pro/getux/)
02:11:31	37105/37105	---MCZ	200	added ('OK')	application/rss+xml	etag:%22b6a501ff477ccea338f5381061dd25ce%22	https://gtkit.rometheme.pro/getux/feed/	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/feed/index.html	(from https://gtkit.rometheme.pro/getux/)
02:11:32	2624/2624	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Sep%202023%2007:21:08%20GMT	https://gtkit.rometheme.pro/getux/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvas.css?ver=1.3.4	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvasc412.css	(from https://gtkit.rometheme.pro/getux/)
02:11:32	728/728	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b6a501ff477ccea338f5381061dd25ce%22	https://gtkit.rometheme.pro/getux/comments/feed/	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/comments/feed/index.html	(from https://gtkit.rometheme.pro/getux/)
02:11:32	304/304	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Sep%202023%2007:21:08%20GMT	https://gtkit.rometheme.pro/getux/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenu.css?ver=1.3.4	/Users/sarma/websites/test/gtkit.rometheme.pro/getux/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenuc412.css	(from https://gtkit.rometheme.pro/getux/)
